Postcode,Population
BB7  4,5164
BB7  9,8931
BB8  0,6164
BB8  7,4707
BB8  8,5176
BB8  9,7378
BB9  0,12394
BB9  5,6463
BB9  6,4868
BB9  7,6838
BB9  8,8252
BB9  9,6530
BD1  1,390
BD1  2,376
BD1  3,1599
BD1  4,763
BD1  5,768
BD10 0,8982
BD10 8,10805
BD10 9,6529
BD11 1,5621
BD11 2,5924
BD12 0,5396
BD12 7,1931
BD12 8,4989
BD12 9,4643
BD13 1,4033
BD13 2,7785
BD13 3,7050
BD13 4,3546
BD13 5,2980
BD14 6,9020
BD15 0,4318
BD15 7,8195
BD15 9,3057
BD16 1,9591
BD16 2,3479
BD16 3,5872
BD16 4,7292
BD17 5,8324
BD17 6,6291
BD17 7,3584
BD18 1,7312
BD18 2,6942
BD18 3,5538
BD18 4,7920
BD19 3,6088
BD19 4,9594
BD19 5,2689
BD19 6,4014
BD2  1,8285
BD2  2,4832
BD2  3,8059
BD2  4,7865
BD20 0,6239
BD20 5,7406
BD20 6,7522
BD20 7,4989
BD20 8,5601
BD20 9,4146
BD21 1,6142
BD21 2,7278
BD21 3,3997
BD21 4,7496
BD21 5,2672
BD22 0,4540
BD22 6,7812
BD22 7,9208
BD22 8,4341
BD22 9,4447
BD23 1,5999
BD23 2,8488
BD23 3,4169
BD23 4,3629
BD23 5,3542
BD23 6,3993
BD24 0,2036
BD24 9,3179
BD3  0,9939
BD3  7,7644
BD3  8,9240
BD3  9,7769
BD4  0,6810
BD4  6,7374
BD4  7,4846
BD4  8,6981
BD4  9,5726
BD5  0,7212
BD5  7,6417
BD5  8,7877
BD5  9,10664
BD6  1,9650
BD6  2,7743
BD6  3,13183
BD7  1,6242
BD7  2,12029
BD7  3,8795
BD7  4,8871
BD8  0,8066
BD8  7,6790
BD8  8,6770
BD8  9,10403
BD9  4,9712
BD9  5,11117
BD9  6,8972
BH1  1,2691
BH1  2,1114
BH1  3,6578
BH1  4,9243
BH10 4,4192
BH10 5,7154
BH10 6,5127
BH10 7,3922
BH11 8,10053
BH11 9,10191
BH12 1,6358
BH12 2,8088
BH12 3,8145
BH12 4,8855
BH12 5,4415
BH13 6,4645
BH13 7,3814
BH14 0,7117
BH14 8,9417
BH14 9,7290
BH15 1,6279
BH15 2,6175
BH15 3,11466
BH15 4,9686
BH16 5,11131
BH16 6,4969
BH17 7,9053
BH17 8,7651
BH17 9,6663
BH18 8,4730
BH18 9,6584
BH19 1,4145
BH19 2,5617
BH19 3,1946
BH2  5,4554
BH2  6,3929
BH20 4,5588
BH20 5,4006
BH20 6,6052
BH20 7,4640
BH21 1,10607
BH21 2,9159
BH21 3,10856
BH21 4,2256
BH21 5,2446
BH21 6,1516
BH21 7,3876
BH21 8,528
BH22 0,7687
BH22 8,11038
BH22 9,8514
BH23 1,5685
BH23 2,12258
BH23 3,9040
BH23 4,9849
BH23 5,6963
BH23 6,507
BH23 7,4560
BH23 8,4836
BH24 1,10649
BH24 2,6973
BH24 3,4960
BH24 4,1405
BH25 5,12560
BH25 6,6709
BH25 7,6880
BH3  7,5836
BH31 6,10339
BH31 7,3245
BH4  8,5412
BH4  9,4126
BH5  1,6490
BH5  2,4944
BH6  3,9195
BH6  4,3677
BH6  5,9699
BH7  6,8266
BH7  7,3750
BH8  0,7430
BH8  8,12843
BH8  9,8212
BH9  1,12907
BH9  2,9027
BH9  3,10217
BL0  0,5668
BL0  9,12383
BL1  1,419
BL1  2,4313
BL1  3,10085
BL1  4,9246
BL1  5,12355
BL1  6,8786
BL1  7,8514
BL1  8,11149
BL2  1,3988
BL2  2,8543
BL2  3,8669
BL2  4,4786
BL2  5,9468
BL2  6,10842
BL3  1,12522
BL3  2,9566
BL3  3,15117
BL3  4,14483
BL3  5,8108
BL3  6,5561
BL4  0,10349
BL4  7,6887
BL4  8,8263
BL4  9,8512
BL5  1,2708
BL5  2,12747
BL5  3,12039
BL6  4,6096
BL6  5,10240
BL6  6,7004
BL6  7,6580
BL7  0,3232
BL7  8,696
BL7  9,11278
BL8  1,12967
BL8  2,10518
BL8  3,8426
BL8  4,4486
BL9  0,2568
BL9  5,6800
BL9  6,8883
BL9  7,10131
BL9  8,9567
BL9  9,11081
BN1  1,2036
BN1  2,5029
BN1  3,10415
BN1  4,8956
BN1  5,10320
BN1  6,17456
BN1  7,8563
BN1  8,14733
BN1  9,8688
BN10 7,9279
BN10 8,9612
BN11 1,4705
BN11 2,9218
BN11 3,4269
BN11 4,9106
BN11 5,6536
BN12 4,7938
BN12 5,4488
BN12 6,8037
BN13 1,8273
BN13 2,10688
BN13 3,9036
BN14 0,5835
BN14 7,10960
BN14 8,6888
BN14 9,7569
BN15 0,8628
BN15 8,7932
BN15 9,11270
BN16 1,6737
BN16 2,7036
BN16 3,8195
BN16 4,6840
BN17 5,6602
BN17 6,13901
BN17 7,8263
BN18 0,8744
BN18 9,4949
BN2  0,7083
BN2  1,10292
BN2  3,12595
BN2  4,16455
BN2  5,13046
BN2  6,9957
BN2  7,4447
BN2  8,8705
BN2  9,11720
BN20 0,1647
BN20 7,5960
BN20 8,8471
BN20 9,5223
BN21 1,7059
BN21 2,9202
BN21 3,5598
BN21 4,4347
BN22 0,9638
BN22 7,4853
BN22 8,10529
BN22 9,7766
BN23 5,6378
BN23 6,6827
BN23 7,7367
BN23 8,8203
BN24 5,6360
BN24 6,3087
BN25 1,4744
BN25 2,7376
BN25 3,8986
BN25 4,2857
BN26 5,6401
BN26 6,5215
BN27 1,6323
BN27 2,5259
BN27 3,11177
BN27 4,4534
BN3  1,10616
BN3  2,6983
BN3  3,12837
BN3  4,7906
BN3  5,12139
BN3  6,11692
BN3  7,10541
BN3  8,8132
BN41 1,6667
BN41 2,14600
BN42 4,10159
BN43 5,11492
BN43 6,11378
BN44 3,10295
BN45 7,678
BN5  9,7225
BN6  8,8830
BN6  9,8862
BN7  1,8815
BN7  2,8473
BN7  3,4256
BN8  4,6068
BN8  5,6223
BN8  6,4289
BN9  0,3997
BN9  9,9706
BR1  1,481
BR1  2,11969
BR1  3,12903
BR1  4,14442
BR1  5,17483
BR2  0,11916
BR2  6,2371
BR2  7,9246
BR2  8,10907
BR2  9,11153
BR3  1,9138
BR3  3,13280
BR3  4,13091
BR3  5,6886
BR3  6,5724
BR4  0,9210
BR4  9,10095
BR5  1,12027
BR5  2,13054
BR5  3,10785
BR5  4,10614
BR6  0,9603
BR6  6,6758
BR6  7,8022
BR6  8,8363
BR6  9,14868
BR7  5,6721
BR7  6,10869
BR8  7,15135
BR8  8,7207
BS1  1,1228
BS1  2,551
BS1  3,2405
BS1  4,535
BS1  5,3208
BS1  6,4256
BS10 5,9659
BS10 6,10395
BS10 7,8014
BS11 0,9735
BS11 9,7910
BS13 0,7668
BS13 7,8455
BS13 8,7462
BS13 9,6495
BS14 0,9015
BS14 8,7895
BS14 9,11718
BS15 1,12136
BS15 3,8960
BS15 4,11291
BS15 8,7496
BS15 9,8237
BS16 1,12377
BS16 2,9227
BS16 3,6968
BS16 4,9335
BS16 5,10166
BS16 6,10776
BS16 7,8012
BS16 9,10320
BS2  0,2967
