Postcode,Population
AL1  1,5483
AL1  2,6559
AL1  3,4202
AL1  4,9853
AL1  5,10283
AL10 0,9990
AL10 8,11059
AL10 9,15051
AL2  1,9560
AL2  2,6164
AL2  3,8011
AL3  4,5596
AL3  5,8880
AL3  6,4305
AL3  7,5373
AL3  8,4465
AL4  0,9360
AL4  8,6545
AL4  9,11515
AL5  1,6124
AL5  2,4702
AL5  3,4685
AL5  4,6486
AL5  5,8411
AL6  0,6470
AL6  9,4814
AL7  1,5793
AL7  2,7436
AL7  3,10170
AL7  4,10679
AL8  6,5901
AL8  7,7424
AL9  5,2096
AL9  6,1435
AL9  7,6935
B1   1,4122
B1   2,2913
B1   3,998
B10  0,8252
B10  9,17801
B11  1,11753
B11  2,3498
B11  3,17338
B11  4,12364
B12  0,4152
B12  8,8797
B12  9,7922
B13  0,13533
B13  8,7721
B13  9,15769
B14  4,12781
B14  5,10987
B14  6,12211
B14  7,7676
B15  1,2596
B15  2,9729
B15  3,5997
B16  0,10078
B16  8,6791
B16  9,7033
B17  0,8884
B17  8,9169
B17  9,7652
B18  4,6713
B18  5,5160
B18  6,1900
B18  7,2599
B19  1,8867
B19  2,7579
B19  3,3733
B2   4,453
B2   5,165
B20  1,8342
B20  2,10878
B20  3,15059
B21  0,10068
B21  8,9629
B21  9,10798
B23  5,15274
B23  6,11175
B23  7,16660
B24  0,10626
B24  8,8073
B24  9,10332
B25  8,16094
B26  1,10956
B26  2,11520
B26  3,10533
B27  6,9657
B27  7,15315
B28  0,14648
B28  8,7777
B28  9,7778
B29  4,6156
B29  5,10260
B29  6,13674
B29  7,12168
B3   1,2454
B3   2,133
B30  1,10165
B30  2,11585
B30  3,7495
B31  1,11451
B31  2,12143
B31  3,11212
B31  4,9983
B31  5,9814
B32  1,9429
B32  2,12146
B32  3,12009
B32  4,5148
B33  0,10520
B33  8,12003
B33  9,12181
B34  6,11229
B34  7,8205
B35  6,4263
B35  7,5763
B36  0,12769
B36  8,12850
B36  9,9326
B37  5,10020
B37  6,11923
B37  7,13984
B38  0,2095
B38  8,9252
B38  9,10125
B4   6,341
B4   7,4367
B42  1,11035
B42  2,13468
B43  5,11008
B43  6,6577
B43  7,11014
B44  0,15513
B44  8,10076
B44  9,11709
B45  0,7183
B45  8,10664
B45  9,12506
B46  1,7263
B46  2,2159
B46  3,2717
B47  5,6633
B47  6,2774
B48  7,5828
B49  5,4368
B49  6,5877
B5   4,2145
B5   5,869
B5   6,223
B5   7,8811
B50  4,5380
B6   4,1096
B6   5,4412
B6   6,11520
B6   7,2745
B60  1,7735
B60  2,7925
B60  3,9080
B60  4,3366
B61  0,10084
B61  7,5216
B61  8,5835
B61  9,2465
B62  0,6342
B62  8,8087
B62  9,10108
B63  1,5953
B63  2,12176
B63  3,7877
B63  4,10627
B64  5,3760
B64  6,6917
B64  7,5942
B65  0,5932
B65  8,7810
B65  9,10160
B66  1,3670
B66  2,1596
B66  3,7308
B66  4,8877
B67  5,9978
B67  6,10599
B67  7,9979
B68  0,9291
B68  8,9740
B68  9,11727
B69  1,15021
B69  2,5194
B69  3,3569
B69  4,5333
B7   4,3606
B7   5,4987
B70  0,6953
B70  6,6909
B70  7,3056
B70  8,3936
B70  9,7292
B71  1,8592
B71  2,10196
B71  3,8693
B71  4,3680
B72  1,9622
B73  5,13377
B73  6,9551
B74  2,9961
B74  3,11385
B74  4,11305
B75  5,8124
B75  6,8943
B75  7,9768
B76  0,380
B76  1,11737
B76  2,6561
B76  9,3093
B77  1,10776
B77  2,14709
B77  3,8882
B77  4,14279
B77  5,8987
B78  1,10254
B78  2,4403
B78  3,9852
B79  0,3228
B79  7,6151
B79  8,10552
B79  9,2317
B8   1,10629
B8   2,15347
B8   3,16187
B80  7,7099
B9   4,4382
B9   5,20660
B90  1,10614
B90  2,12861
B90  3,10474
B90  4,11663
B91  1,10937
B91  2,11817
B91  3,10597
B92  0,4002
B92  7,12735
B92  8,12497
B92  9,8218
B93  0,3486
B93  8,7826
B93  9,8503
B94  5,3891
B94  6,3529
B95  5,3929
B95  6,1764
B96  6,5101
B97  4,5789
B97  5,16834
B97  6,11057
B98  0,14597
B98  7,19894
B98  8,9474
B98  9,6372
BA1  1,1885
BA1  2,6569
BA1  3,7606
BA1  4,5348
BA1  5,4549
BA1  6,8288
BA1  7,5544
BA1  8,909
BA1  9,249
BA10 0,3759
BA11 1,5020
BA11 2,10996
BA11 3,4971
BA11 4,6320
BA11 5,3443
BA11 6,1884
BA12 0,5691
BA12 6,4309
BA12 7,3085
BA12 8,9039
BA12 9,6542
BA13 2,1310
BA13 3,12948
BA13 4,6078
BA14 0,12534
BA14 6,5971
BA14 7,15266
BA14 8,5842
BA14 9,8793
BA15 1,9200
BA15 2,4012
BA16 0,10454
BA16 9,2659
BA2  0,4604
BA2  1,12923
BA2  2,10535
BA2  3,9428
BA2  4,6312
BA2  5,7260
BA2  6,6156
BA2  7,7213
BA2  8,7697
BA2  9,2033
BA20 1,2185
BA20 2,8740
BA21 3,15184
BA21 4,8949
BA21 5,9672
BA22 7,3902
BA22 8,9015
BA22 9,5349
BA3  2,9856
BA3  3,10469
BA3  4,7598
BA3  5,6980
BA4  4,5187
BA4  5,8345
BA4  6,4341
BA5  1,6099
BA5  2,7293
BA5  3,4239
BA6  8,6473
BA6  9,6469
BA7  7,3533
BA8  0,4176
BA9  8,1492
BA9  9,5790
BB1  1,12386
BB1  2,9230
BB1  3,2799
BB1  4,6662
BB1  5,7816
BB1  6,3477
BB1  7,4393
BB1  8,9868
BB1  9,10284
BB10 1,8862
BB10 2,10506
BB10 3,8032
BB10 4,10240
BB11 2,5232
BB11 3,4115
BB11 4,6099
BB11 5,6898
BB12 0,8134
BB12 6,8577
BB12 7,7209
BB12 8,7935
BB12 9,2950
BB18 5,7753
BB18 6,9522
BB2  1,5716
BB2  2,4471
BB2  3,9974
BB2  4,15267
BB2  5,7109
BB2  6,10490
BB2  7,7229
BB3  0,9355
BB3  1,6427
BB3  2,9454
BB3  3,9458
BB4  4,7514
BB4  5,6039
BB4  6,7838
BB4  7,5906
BB4  8,8724
BB4  9,5608
BB5  0,9756
BB5  1,4973
BB5  2,7729
BB5  3,7955
BB5  4,8895
BB5  5,11577
BB5  6,10556
BB6  7,10860
BB6  8,3880
BB7  1,7633
BB7  2,7217
BB7  3,3084
BB7  4,5108
BB7  9,8833
BB8  0,6096
BB8  7,4655
BB8  8,5120
BB8  9,7297
BB9  0,12257
BB9  5,6392
BB9  6,4814
BB9  7,6763
BB9  8,8161
BB9  9,6458
BD1  1,386
BD1  2,372
BD1  3,1583
BD1  4,755
BD1  5,760
BD10 0,8883
BD10 8,10686
BD10 9,6457
BD11 1,5559
BD11 2,5859
BD12 0,5337
BD12 7,1911
BD12 8,4935
BD12 9,4593
BD13 1,3989
BD13 2,7699
BD13 3,6972
BD13 4,3508
BD13 5,2948
BD14 6,8920
BD15 0,4271
BD15 7,8105
BD15 9,3024
BD16 1,9485
BD16 2,3441
BD16 3,5808
BD16 4,7212
BD17 5,8232
BD17 6,6222
BD17 7,3545
BD18 1,7232
BD18 2,6866
BD18 3,5478
BD18 4,7833
BD19 3,6022
BD19 4,9488
BD19 5,2660
BD19 6,3970
BD2  1,8194
BD2  2,4780
BD2  3,7971
BD2  4,7779
BD20 0,6171
BD20 5,7324
BD20 6,7440
BD20 7,4935
BD20 8,5539
BD20 9,4100
BD21 1,6074
BD21 2,7198
BD21 3,3953
BD21 4,7414
BD21 5,2644
BD22 0,4490
BD22 6,7726
BD22 7,9106
BD22 8,4293
BD22 9,4399
BD23 1,5933
BD23 2,8394
BD23 3,4123
BD23 4,3589
BD23 5,3504
BD23 6,3949
BD24 0,2014
BD24 9,3145
BD3  0,9829
BD3  7,7560
BD3  8,9138
BD3  9,7683
BD4  0,6735
BD4  6,7293
BD4  7,4793
BD4  8,6905
BD4  9,5664
BD5  0,7132
BD5  7,6347
BD5  8,7791
BD5  9,10546
BD6  1,9544
BD6  2,7658
BD6  3,13037
BD7  1,6174
BD7  2,11896
BD7  3,8698
BD7  4,8773
BD8  0,7977
BD8  7,6716
BD8  8,6696
BD8  9,10288
BD9  4,9605
BD9  5,10994
BD9  6,8873
BH1  1,2662
BH1  2,1102
BH1  3,6506
BH1  4,9141
BH10 4,4146
BH10 5,7076
BH10 6,5071
BH10 7,3880
BH11 8,9942
BH11 9,10079
BH12 1,6288
BH12 2,7999
BH12 3,8055
BH12 4,8757
BH12 5,4367
BH13 6,4595
BH13 7,3772
BH14 0,7039
BH14 8,9313
BH14 9,7210
BH15 1,6210
BH15 2,6107
BH15 3,11340
BH15 4,9579
BH16 5,11008
BH16 6,4915
BH17 7,8953
BH17 8,7567
BH17 9,6590
BH18 8,4678
BH18 9,6512
BH19 1,4099
BH19 2,5555
BH19 3,1926
BH2  5,4504
BH2  6,3887
BH20 4,5526
BH20 5,3962
BH20 6,5986
BH20 7,4590
BH21 1,10490
BH21 2,9058
BH21 3,10736
BH21 4,2232
BH21 5,2420
BH21 6,1500
BH21 7,3834
BH21 8,524
BH22 0,7603
BH22 8,10916
BH22 9,8420
BH23 1,5623
BH23 2,12122
BH23 3,8940
BH23 4,9741
BH23 5,6887
BH23 6,503
BH23 7,4510
BH23 8,4784
BH24 1,10531
BH24 2,6897
BH24 3,4906
BH24 4,1391
BH25 5,12421
BH25 6,6635
BH25 7,6804
BH3  7,5772
BH31 6,10225
BH31 7,3209
BH4  8,5352
BH4  9,4081
BH5  1,6418
BH5  2,4890
BH6  3,9093
BH6  4,3637
