"ID","Short Postcode","Population"
"E01018760","PL14 4",5558
"E01018766","PL14 4",5558
"E01018759","PL14 4",5558
"E01018769","PL14 5",5631
"E01018783","PL14 5",5631
"E01018777","PL14 5",5631
"E01018782","PL14 5",5631
"E01018779","PL14 5",5631
"E01018771","PL14 6",3511
"E01018784","PL14 6",3511
"E01018769","PL14 6",3511
"E01018767","PL14 6",3511
"E01018758","PL14 6",3511
"E01018772","PL14 6",3511
"E01018783","PL14 6",3511
"E01018782","PL14 6",3511
"E01018766","PL14 6",3511
"E01018950","PL15 7",6372
"E01018948","PL15 7",6372
"E01018965","PL15 7",6372
"E01018946","PL15 7",6372
"E01018952","PL15 7",6372
"E01018925","PL15 7",6372
"E01018947","PL15 7",6372
"E01018784","PL15 7",6372
"E01018950","PL15 8",7117
"E01018948","PL15 8",7117
"E01018949","PL15 8",7117
"E01018953","PL15 8",7117
"E01018952","PL15 8",7117
"E01018974","PL15 8",7117
"E01018965","PL15 8",7117
"E01018968","PL15 8",7117
"E01018925","PL15 8",7117
"E01018950","PL15 9",6528
"E01018947","PL15 9",6528
"E01018946","PL15 9",6528
"E01018965","PL15 9",6528
"E01018966","PL15 9",6528
"E01018952","PL15 9",6528
"E01018953","PL15 9",6528
"E01018974","PL15 9",6528
"E01020286","PL15 9",6528
"E01018751","PL17 7",5820
"E01018750","PL17 7",5820
"E01018752","PL17 7",5820
"E01018765","PL17 7",5820
"E01018779","PL17 7",5820
"E01018777","PL17 7",5820
"E01018765","PL17 8",4257
"E01018753","PL17 8",4257
"E01018751","PL17 8",4257
"E01018752","PL17 8",4257
"E01018756","PL17 8",4257
"E01018967","PL17 8",4257
"E01018966","PL17 8",4257
"E01018777","PL17 8",4257
"E01018755","PL18 9",4836
"E01018754","PL18 9",4836
"E01018753","PL18 9",4836
"E01018756","PL18 9",4836
"E01019035","PL22 0",3715
"E01019037","PL22 0",3715
"E01018766","PL22 0",3715
"E01019027","PL23 1",3538
"E01019025","PL23 1",3538
"E01018766","PL23 1",3538
"E01019026","PL24 2",10213
"E01019025","PL24 2",10213
"E01019057","PL24 2",10213
"E01019058","PL24 2",10213
"E01019059","PL24 2",10213
"E01019056","PL24 2",10213
"E01019024","PL24 2",10213
"E01019036","PL24 2",10213
"E01019045","PL25 3",11053
"E01019017","PL25 3",11053
"E01019015","PL25 3",11053
"E01019044","PL25 3",11053
"E01019014","PL25 3",11053
"E01019042","PL25 3",11053
"E01019013","PL25 3",11053
"E01019016","PL25 3",11053
"E01019043","PL25 3",11053
"E01019047","PL25 4",8920
"E01019033","PL25 4",8920
"E01019045","PL25 4",8920
"E01019046","PL25 4",8920
"E01019075","PL25 4",8920
"E01019043","PL25 4",8920
"E01019067","PL25 4",8920
"E01019015","PL25 4",8920
"E01019041","PL25 4",8920
"E01019042","PL25 4",8920
"E01019034","PL25 5",5719
"E01019033","PL25 5",5719
"E01019041","PL25 5",5719
"E01019043","PL25 5",5719
"E01019067","PL25 5",5719
"E01019032","PL25 5",5719
"E01019073","PL25 5",5719
"E01019045","PL25 5",5719
"E01019047","PL25 5",5719
"E01019017","PL26 6",5170
"E01019040","PL26 6",5170
"E01019067","PL26 6",5170
"E01019039","PL26 6",5170
"E01019066","PL26 6",5170
"E01019038","PL26 6",5170
"E01019067","PL26 7",9662
"E01019068","PL26 7",9662
"E01019070","PL26 7",9662
"E01019073","PL26 7",9662
"E01019071","PL26 7",9662
"E01019054","PL26 7",9662
"E01019066","PL26 7",9662
"E01019072","PL26 7",9662
"E01019069","PL26 7",9662
"E01019055","PL26 8",11988
"E01019054","PL26 8",11988
"E01019053","PL26 8",11988
"E01019052","PL26 8",11988
"E01019075","PL26 8",11988
"E01019074","PL26 8",11988
"E01019076","PL26 8",11988
"E01018945","PL26 8",11988
"E01019036","PL26 8",11988
"E01019034","PL26 8",11988
"E01018973","PL27 6",5394
"E01018970","PL27 6",5394
"E01018972","PL27 6",5394
"E01018924","PL27 6",5394
"E01018962","PL27 6",5394
"E01033289","PL27 6",5394
"E01018972","PL27 7",6901
"E01018973","PL27 7",6901
"E01018971","PL27 7",6901
"E01018956","PL27 7",6901
"E01018924","PL27 7",6901
"E01018954","PL27 7",6901
"E01018957","PL27 7",6901
"E01018958","PL28 8",4458
"E01018957","PL28 8",4458
"E01018956","PL28 8",4458
"E01018955","PL28 8",4458
"E01018954","PL28 8",4458
"E01018962","PL29 3",1034
"E01018924","PL30 3",3617
"E01018923","PL30 3",3617
"E01018962","PL30 3",3617
"E01018940","PL30 3",3617
"E01033291","PL30 3",3617
"E01018926","PL30 3",3617
"E01018944","PL30 4",2590
"E01018926","PL30 4",2590
"E01018934","PL30 4",2590
"E01018784","PL30 4",2590
"E01018940","PL30 4",2590
"E01018923","PL30 4",2590
"E01018935","PL30 5",4408
"E01018934","PL30 5",4408
