Postcode,Population
AL1  1,5574
AL1  2,6669
AL1  3,4271
AL1  4,10018
AL1  5,10456
AL10 0,10158
AL10 8,11245
AL10 9,15304
AL2  1,9720
AL2  2,6266
AL2  3,8145
AL3  4,5689
AL3  5,9029
AL3  6,4377
AL3  7,5463
AL3  8,4540
AL4  0,9517
AL4  8,6654
AL4  9,11708
AL5  1,6226
AL5  2,4780
AL5  3,4763
AL5  4,6594
AL5  5,8552
AL6  0,6578
AL6  9,4895
AL7  1,5889
AL7  2,7560
AL7  3,10341
AL7  4,10858
AL8  6,6000
AL8  7,7548
AL9  5,2129
AL9  6,1459
AL9  7,7051
B1   1,4191
B1   2,2961
B1   3,1013
B10  0,8390
B10  9,18101
B11  1,11950
B11  2,3555
B11  3,17630
B11  4,12572
B12  0,4221
B12  8,8944
B12  9,8054
B13  0,13760
B13  8,7850
B13  9,16034
B14  4,12996
B14  5,11172
B14  6,12416
B14  7,7805
B15  1,2638
B15  2,9892
B15  3,6097
B16  0,10247
B16  8,6905
B16  9,7150
B17  0,9033
B17  8,9323
B17  9,7780
B18  4,6825
B18  5,5246
B18  6,1930
B18  7,2641
B19  1,9016
B19  2,7706
B19  3,3795
B2   4,459
B2   5,165
B20  1,8482
B20  2,11061
B20  3,15312
B21  0,10237
B21  8,9791
B21  9,10979
B23  5,15531
B23  6,11363
B23  7,16941
B24  0,10804
B24  8,8208
B24  9,10505
B25  8,16365
B26  1,11140
B26  2,11714
B26  3,10710
B27  6,9819
B27  7,15572
B28  0,14895
B28  8,7907
B28  9,7908
B29  4,6258
B29  5,10432
B29  6,13904
B29  7,12373
B3   1,2493
B3   2,133
B30  1,10336
B30  2,11780
B30  3,7621
B31  1,11643
B31  2,12347
B31  3,11400
B31  4,10151
B31  5,9979
B32  1,9587
B32  2,12350
B32  3,12211
B32  4,5234
B33  0,10697
B33  8,12205
B33  9,12386
B34  6,11418
B34  7,8343
B35  6,4334
B35  7,5859
B36  0,12984
B36  8,13066
B36  9,9482
B37  5,10188
B37  6,12123
