Postcode,Population
AL1  1,5513
AL1  2,6595
AL1  3,4225
AL1  4,9908
AL1  5,10340
AL10 0,10046
AL10 8,11121
AL10 9,15135
AL2  1,9613
AL2  2,6198
AL2  3,8055
AL3  4,5627
AL3  5,8929
AL3  6,4329
AL3  7,5403
AL3  8,4490
AL4  0,9412
AL4  8,6581
AL4  9,11579
AL5  1,6158
AL5  2,4728
AL5  3,4711
AL5  4,6522
AL5  5,8458
AL6  0,6506
AL6  9,4841
AL7  1,5825
AL7  2,7477
AL7  3,10227
AL7  4,10738
AL8  6,5934
AL8  7,7465
AL9  5,2107
AL9  6,1443
AL9  7,6973
B1   1,4145
B1   2,2929
B1   3,1003
B10  0,8298
B10  9,17900
B11  1,11818
B11  2,3517
B11  3,17435
B11  4,12433
B12  0,4175
B12  8,8846
B12  9,7966
B13  0,13608
B13  8,7764
B13  9,15857
B14  4,12852
B14  5,11048
B14  6,12279
B14  7,7719
B15  1,2610
B15  2,9783
B15  3,6030
B16  0,10134
B16  8,6829
B16  9,7072
B17  0,8933
B17  8,9220
B17  9,7694
B18  4,6750
B18  5,5188
B18  6,1910
B18  7,2613
B19  1,8916
B19  2,7621
B19  3,3753
B2   4,455
B2   5,165
B20  1,8388
B20  2,10939
B20  3,15143
B21  0,10124
B21  8,9683
B21  9,10858
B23  5,15359
B23  6,11237
B23  7,16753
B24  0,10685
B24  8,8118
B24  9,10389
B25  8,16184
B26  1,11017
B26  2,11584
B26  3,10592
B27  6,9711
B27  7,15400
B28  0,14730
B28  8,7820
B28  9,7821
B29  4,6190
B29  5,10317
B29  6,13750
B29  7,12236
B3   1,2467
B3   2,133
B30  1,10222
B30  2,11650
B30  3,7537
B31  1,11515
B31  2,12211
B31  3,11274
B31  4,10039
B31  5,9869
B32  1,9481
B32  2,12214
B32  3,12076
B32  4,5176
B33  0,10579
B33  8,12070
B33  9,12249
B34  6,11292
B34  7,8251
B35  6,4286
B35  7,5795
B36  0,12840
B36  8,12922
B36  9,9378
B37  5,10076
B37  6,11989
B37  7,14062
B38  0,2106
B38  8,9303
B38  9,10181
B4   6,342
B4   7,4391
B42  1,11096
B42  2,13543
B43  5,11069
B43  6,6613
B43  7,11075
B44  0,15600
B44  8,10132
B44  9,11774
B45  0,7223
B45  8,10723
B45  9,12576
B46  1,7303
B46  2,2171
B46  3,2732
B47  5,6670
B47  6,2789
B48  7,5860
B49  5,4392
B49  6,5909
B5   4,2157
B5   5,873
B5   6,224
B5   7,8860
B50  4,5410
B6   4,1102
B6   5,4436
B6   6,11584
B6   7,2760
B60  1,7778
B60  2,7969
B60  3,9130
B60  4,3384
B61  0,10140
B61  7,5245
B61  8,5867
B61  9,2478
B62  0,6377
B62  8,8132
B62  9,10164
B63  1,5986
B63  2,12244
B63  3,7921
B63  4,10686
B64  5,3781
B64  6,6955
B64  7,5975
B65  0,5965
B65  8,7853
B65  9,10217
B66  1,3690
B66  2,1604
B66  3,7349
B66  4,8926
B67  5,10034
B67  6,10658
B67  7,10035
B68  0,9343
B68  8,9794
B68  9,11792
B69  1,15105
B69  2,5223
B69  3,3589
B69  4,5362
B7   4,3626
B7   5,5014
B70  0,6992
B70  6,6947
B70  7,3073
B70  8,3958
B70  9,7332
B71  1,8640
B71  2,10253
B71  3,8741
B71  4,3700
B72  1,9676
B73  5,13452
B73  6,9604
B74  2,10016
B74  3,11448
B74  4,11368
B75  5,8169
B75  6,8993
B75  7,9822
B76  0,382
B76  1,11802
B76  2,6597
B76  9,3110
B77  1,10836
B77  2,14791
B77  3,8931
B77  4,14359
B77  5,9037
B78  1,10311
B78  2,4427
B78  3,9907
B79  0,3246
B79  7,6185
B79  8,10611
B79  9,2330
B8   1,10688
B8   2,15433
B8   3,16277
B80  7,7138
B9   4,4406
B9   5,20775
B90  1,10673
B90  2,12933
B90  3,10532
B90  4,11728
B91  1,10998
B91  2,11883
B91  3,10656
B92  0,4024
B92  7,12806
B92  8,12567
B92  9,8264
B93  0,3505
B93  8,7869
B93  9,8550
B94  5,3912
B94  6,3548
B95  5,3951
B95  6,1773
B96  6,5129
B97  4,5821
B97  5,16928
B97  6,11119
B98  0,14678
B98  7,20005
B98  8,9527
B98  9,6407
BA1  1,1895
BA1  2,6605
BA1  3,7648
BA1  4,5378
BA1  5,4574
BA1  6,8334
BA1  7,5575
BA1  8,914
BA1  9,250
BA10 0,3780
BA11 1,5048
BA11 2,11057
BA11 3,4998
BA11 4,6355
BA11 5,3462
BA11 6,1894
BA12 0,5722
BA12 6,4333
BA12 7,3102
BA12 8,9089
BA12 9,6578
BA13 2,1317
BA13 3,13020
BA13 4,6112
BA14 0,12604
BA14 6,6004
BA14 7,15351
BA14 8,5874
BA14 9,8842
BA15 1,9251
BA15 2,4034
BA16 0,10512
BA16 9,2673
BA2  0,4629
BA2  1,12995
BA2  2,10594
BA2  3,9480
BA2  4,6347
BA2  5,7300
BA2  6,6190
BA2  7,7253
BA2  8,7740
BA2  9,2044
BA20 1,2197
BA20 2,8789
